group_id,group_name,group_level,dataframe,indicator_id,mean,std,min,max,n_observations,n_experiments,system,product_mix,automation_degree,division_type,num_stations,system_type,automation_level,mean_normalized
G11,Product_Mix_x_System,balanced_system_02,df_experiments,rank,,,,,0.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_experiments,rank_all,35.75,7.27,29.0,45.0,4.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_experiments,total_weighted_score,0.48,0.02,0.46,0.49,4.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_process,IND01,0.08,0.05,0.0,0.2,1640.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_resource,IND02,19.8,13.57,3.88,44.43,20.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_process,IND03,11.16,6.66,0.11,25.85,1640.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_product,IND04,414.01,168.56,182.0,1592.0,160.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_process,IND05,1987.68,1717.74,0.0,9565.0,1640.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_process,IND06,74.0,87.53,0.0,336.0,1640.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_experiments,economic_score,0.27,0.01,0.27,0.28,4.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_experiments,environmental_score,0.17,0.02,0.15,0.19,4.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_experiments,rank,,,,,0.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_experiments,rank_all,56.0,15.73,42.0,76.0,4.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_03,df_experiments,total_weighted_score,0.45,0.02,0.42,0.47,4.0,4,system_03,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_05,df_process,IND01,0.08,0.05,0.0,0.2,1640.0,4,system_05,balanced,,,,,,
