exp_id,system,step_id,components,product_mix,automation_level,product_type,n_components,total_electricity,total_circularity,total_profit,total_revenue,total_cost,mean_electricity,mean_circularity,mean_profit,mean_revenue,mean_cost
exp014,system_02,2,BAT,balanced,a02,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp014,system_02,3,RT,balanced,a02,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp014,system_02,4,FT,balanced,a02,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp014,system_02,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",balanced,a02,car_hd,20,2.0,3673.0,86617.0,86960,343.0,0.1,183.65,4330.85,4348.0,17.15
exp014,system_02,5_1_1,"FAX, SSA",balanced,a02,car_hd,30,3.6,496.2,19704.9,20340,635.1,0.12,16.54,656.83,678.0,21.17
exp014,system_02,5_2_1,CHS,balanced,a02,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp014,system_02,5_2_2,"BSA, RAX_HD",balanced,a02,car_hd,30,2.8,909.0,26478.7,26960,481.3,0.09,30.3,882.62,898.67,16.04
exp014,system_02,1,BOSP,balanced,a02,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp014,system_02,2,RT,balanced,a02,car_rd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp014,system_02,3,CORE,balanced,a02,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp014,system_02,4,"BSA, RAX_RD",balanced,a02,car_rd,30,2.8,2899.8,61258.7,61740,481.3,0.09,96.66,2041.96,2058.0,16.04
exp014,system_02,1,RT,balanced,a02,car_sa,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp014,system_02,2,FT,balanced,a02,car_sa,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp014,system_02,3,SSA,balanced,a02,car_sa,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp014,system_02,4,"BSA, CSEB-NABS",balanced,a02,car_sa,30,2.8,1866.0,41778.7,42260,481.3,0.09,62.2,1392.62,1408.67,16.04
exp014,system_02,1,BOSP,balanced,a02,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
